traj #,traj frame,x,y,z,intensity,area,frame1
1,0,60.0,65.0,17.0,632521.75,181.0,60.0
2,0,68.0,70.0,29.0,632283.0,181.0,68.0
3,0,67.0,65.0,21.0,632051.75,181.0,67.0
4,0,60.0,62.0,27.0,631480.75,181.0,60.0
5,0,61.0,60.0,22.0,631198.2,181.0,61.0
6,0,64.0,65.0,16.0,631079.9,181.0,64.0
7,0,61.0,59.0,18.0,631032.0,181.0,61.0
8,0,65.0,61.0,21.0,630955.9,181.0,65.0
9,0,66.0,69.0,23.0,630590.25,181.0,66.0
10,0,65.0,59.0,16.0,630370.9,181.0,65.0
11,0,62.0,60.0,25.0,630333.56,181.0,62.0
12,0,72.0,61.0,24.0,629855.44,181.0,72.0
13,0,76.0,62.0,22.0,629835.9,181.0,76.0
14,0,61.0,62.0,12.0,629786.4,181.0,61.0
15,0,60.0,68.0,20.0,629719.4,181.0,60.0
16,0,69.0,62.0,19.0,629639.6,181.0,69.0
17,0,70.0,68.0,19.0,629599.94,181.0,70.0
18,0,65.0,65.0,25.0,629437.0,181.0,65.0
19,0,68.0,51.0,26.0,629349.06,181.0,68.0
20,0,61.0,68.0,15.0,629347.94,181.0,61.0
21,0,64.0,62.0,18.0,629310.7,181.0,64.0
22,0,69.0,58.0,22.0,629268.2,181.0,69.0
23,0,68.0,65.0,14.0,629263.3,181.0,68.0
24,0,54.0,67.0,20.0,629199.8,181.0,54.0
25,0,61.0,65.0,22.0,629162.25,181.0,61.0
26,0,62.0,72.0,17.0,629065.7,181.0,62.0
27,0,60.0,53.0,15.0,629056.56,181.0,60.0
28,0,58.0,66.0,24.0,629043.2,181.0,58.0
29,0,68.0,58.0,18.0,628861.2,181.0,68.0
30,0,67.0,61.0,29.0,628805.8,181.0,67.0
31,0,69.0,76.0,17.0,628805.75,181.0,69.0
32,0,70.0,67.0,24.0,628791.06,181.0,70.0
33,0,63.0,68.0,18.0,628707.5,181.0,63.0
34,0,65.0,69.0,13.0,628626.94,181.0,65.0
