traj #,traj frame,x,y,z,intensity,area,frame1
1,0,61.0,65.0,18.0,632501.1,181.0,61.0
2,0,64.0,57.0,21.0,632363.8,181.0,64.0
3,0,64.0,67.0,16.0,631680.5,181.0,64.0
4,0,61.0,75.0,22.0,630778.2,181.0,61.0
5,0,64.0,73.0,20.0,630650.06,181.0,64.0
6,0,67.0,70.0,22.0,630566.94,181.0,67.0
7,0,64.0,59.0,27.0,630543.56,181.0,64.0
8,0,63.0,63.0,14.0,630480.2,181.0,63.0
9,0,69.0,66.0,22.0,630455.5,181.0,69.0
10,0,72.0,59.0,21.0,630414.56,181.0,72.0
11,0,64.0,59.0,18.0,630389.6,181.0,64.0
12,0,70.0,65.0,15.0,630389.44,181.0,70.0
13,0,66.0,64.0,11.0,630355.7,181.0,66.0
14,0,69.0,55.0,20.0,630210.25,181.0,69.0
15,0,61.0,63.0,21.0,630166.4,181.0,61.0
16,0,65.0,66.0,21.0,630043.06,181.0,65.0
17,0,65.0,62.0,20.0,629892.2,181.0,65.0
18,0,70.0,66.0,19.0,629724.4,181.0,70.0
19,0,68.0,59.0,17.0,629717.1,181.0,68.0
20,0,59.0,68.0,24.0,629698.44,181.0,59.0
21,0,58.0,69.0,16.0,629698.44,181.0,58.0
22,0,62.0,59.0,15.0,629674.6,181.0,62.0
23,0,57.0,64.0,14.0,629661.8,181.0,57.0
24,0,60.0,59.0,23.0,629638.75,181.0,60.0
25,0,57.0,70.0,21.0,629598.56,181.0,57.0
26,0,54.0,61.0,23.0,629569.2,181.0,54.0
27,0,53.0,65.0,18.0,629459.2,181.0,53.0
28,0,68.0,67.0,29.0,629429.0,181.0,68.0
29,0,67.0,73.0,17.0,629428.0,181.0,67.0
30,0,57.0,64.0,28.0,629425.5,181.0,57.0
31,0,65.0,68.0,25.0,629410.44,181.0,65.0
32,0,59.0,59.0,27.0,629357.25,181.0,59.0
33,0,63.0,56.0,13.0,629118.9,181.0,63.0
34,0,63.0,55.0,16.0,629050.75,181.0,63.0
35,0,70.0,66.0,25.0,629041.2,181.0,70.0
36,0,70.0,69.0,17.0,629000.8,181.0,70.0
37,0,68.0,68.0,10.0,628996.4,181.0,68.0
38,0,75.0,61.0,18.0,628969.56,181.0,75.0
39,0,64.0,73.0,24.0,628963.75,181.0,64.0
40,0,61.0,65.0,26.0,628955.7,181.0,61.0
41,0,74.0,68.0,24.0,628917.94,181.0,74.0
42,0,57.0,59.0,17.0,628656.5,181.0,57.0
43,0,73.0,59.0,27.0,628636.25,181.0,73.0
44,0,67.0,69.0,19.0,628596.9,181.0,67.0
45,0,66.0,63.0,17.0,628576.3,181.0,66.0
46,0,67.0,57.0,24.0,628565.0,181.0,67.0
47,0,73.0,61.0,15.0,628526.7,181.0,73.0
48,0,60.0,72.0,25.0,628471.0,181.0,60.0
49,0,67.0,73.0,26.0,628378.06,181.0,67.0
50,0,71.0,58.0,24.0,628352.5,181.0,71.0
51,0,59.0,55.0,21.0,628344.0,181.0,59.0
52,0,71.0,71.0,25.0,628253.1,181.0,71.0
53,0,56.0,66.0,21.0,628243.56,181.0,56.0
54,0,62.0,69.0,20.0,628213.8,181.0,62.0
55,0,61.0,75.0,17.0,628132.2,181.0,61.0
56,0,63.0,69.0,10.0,627913.9,181.0,63.0
57,0,55.0,60.0,13.0,627863.0,181.0,55.0
58,0,69.0,75.0,19.0,627850.75,181.0,69.0
59,0,65.0,64.0,27.0,627775.4,181.0,65.0
60,0,72.0,69.0,21.0,627759.6,181.0,72.0
61,0,59.0,72.0,28.0,627732.94,181.0,59.0
62,0,67.0,53.0,16.0,627661.1,181.0,67.0
63,0,59.0,72.0,19.0,627651.8,181.0,59.0
