traj #,traj frame,x,y,z,intensity,area,frame1
1,0,69.0,71.0,24.0,633927.7,181.0,69.0
2,0,65.0,65.0,20.0,632105.3,181.0,65.0
3,0,70.0,62.0,20.0,631960.8,181.0,70.0
4,0,62.0,67.0,23.0,631856.4,181.0,62.0
5,0,64.0,60.0,24.0,631787.06,181.0,64.0
6,0,60.0,65.0,21.0,631456.94,181.0,60.0
7,0,58.0,67.0,26.0,631183.0,181.0,58.0
8,0,70.0,64.0,29.0,630821.6,181.0,70.0
9,0,62.0,71.0,13.0,630821.25,181.0,62.0
10,0,66.0,57.0,18.0,630803.94,181.0,66.0
11,0,58.0,72.0,19.0,630457.94,181.0,58.0
12,0,68.0,58.0,21.0,630113.4,181.0,68.0
13,0,62.0,65.0,15.0,630084.25,181.0,62.0
14,0,69.0,66.0,16.0,630049.56,181.0,69.0
15,0,66.0,69.0,18.0,630015.0,181.0,66.0
16,0,61.0,62.0,13.0,629936.56,181.0,61.0
17,0,62.0,61.0,17.0,629784.5,181.0,62.0
18,0,63.0,66.0,27.0,629766.1,181.0,63.0
19,0,54.0,66.0,20.0,629646.25,181.0,54.0
20,0,70.0,69.0,27.0,629590.5,181.0,70.0
21,0,54.0,63.0,16.0,629583.9,181.0,54.0
22,0,65.0,68.0,15.0,629575.6,181.0,65.0
23,0,56.0,59.0,15.0,629459.2,181.0,56.0
24,0,62.0,63.0,29.0,629198.44,181.0,62.0
25,0,69.0,61.0,25.0,629106.7,181.0,69.0
26,0,62.0,68.0,17.0,629057.56,181.0,62.0
27,0,72.0,69.0,16.0,629054.5,181.0,72.0
28,0,66.0,64.0,23.0,628871.7,181.0,66.0
29,0,59.0,59.0,19.0,628812.3,181.0,59.0
30,0,61.0,61.0,22.0,628755.56,181.0,61.0
31,0,70.0,53.0,17.0,628732.25,181.0,70.0
32,0,66.0,57.0,14.0,628664.94,181.0,66.0
33,0,71.0,57.0,26.0,628574.4,181.0,71.0
34,0,72.0,65.0,24.0,628548.56,181.0,72.0
35,0,56.0,58.0,25.0,628468.1,181.0,56.0
36,0,66.0,69.0,22.0,628432.5,181.0,66.0
37,0,75.0,66.0,11.0,628401.7,181.0,75.0
38,0,60.0,67.0,13.0,628394.9,181.0,60.0
39,0,70.0,68.0,20.0,628345.94,181.0,70.0
40,0,67.0,74.0,26.0,628306.7,181.0,67.0
41,0,68.0,72.0,20.0,628197.56,181.0,68.0
42,0,60.0,52.0,19.0,628182.94,181.0,60.0
43,0,73.0,66.0,18.0,628165.44,181.0,73.0
44,0,53.0,67.0,15.0,628164.6,181.0,53.0
45,0,76.0,62.0,23.0,628047.3,181.0,76.0
46,0,70.0,64.0,11.0,627968.06,181.0,70.0
47,0,60.0,60.0,26.0,627967.4,181.0,60.0
48,0,61.0,57.0,15.0,627938.1,181.0,61.0
49,0,57.0,64.0,23.0,627935.0,181.0,57.0
50,0,54.0,70.0,25.0,627884.3,181.0,54.0
51,0,70.0,58.0,18.0,627871.5,181.0,70.0
52,0,68.0,62.0,17.0,627727.44,181.0,68.0
53,0,69.0,60.0,12.0,627723.7,181.0,69.0
54,0,80.0,66.0,17.0,627719.9,181.0,80.0
55,0,68.0,66.0,25.0,627631.5,181.0,68.0
56,0,61.0,72.0,26.0,627595.75,181.0,61.0
57,0,65.0,60.0,10.0,627568.25,181.0,65.0
58,0,63.0,56.0,22.0,627545.06,181.0,63.0
59,0,56.0,56.0,19.0,627518.4,181.0,56.0
60,0,57.0,63.0,10.0,627501.56,181.0,57.0
61,0,63.0,55.0,27.0,627484.5,181.0,63.0
62,0,58.0,68.0,29.0,627480.44,181.0,58.0
63,0,63.0,71.0,20.0,627439.0,181.0,63.0
64,0,58.0,64.0,18.0,627368.44,181.0,58.0
65,0,55.0,72.0,17.0,627363.4,181.0,55.0
66,0,61.0,72.0,17.0,627331.7,181.0,61.0
67,0,64.0,60.0,27.0,627322.2,181.0,64.0
68,0,68.0,53.0,23.0,627267.8,181.0,68.0
69,0,65.0,68.0,32.0,627261.5,181.0,65.0
70,0,60.0,55.0,25.0,627162.25,181.0,60.0
71,0,72.0,73.0,26.0,627155.2,181.0,72.0
72,0,70.0,59.0,15.0,627152.94,181.0,70.0
73,0,66.0,69.0,29.0,627115.25,181.0,66.0
74,0,69.0,72.0,12.0,627072.06,181.0,69.0
75,0,71.0,55.0,21.0,627031.7,181.0,71.0
76,0,75.0,59.0,20.0,627016.4,181.0,75.0
77,0,74.0,65.0,15.0,626985.2,181.0,74.0
78,0,65.0,74.0,17.0,626904.7,181.0,65.0
79,0,50.0,65.0,17.0,626893.3,181.0,50.0
80,0,73.0,65.0,27.0,626871.1,181.0,73.0
81,0,57.0,73.0,23.0,626865.8,181.0,57.0
82,0,62.0,75.0,21.0,626850.5,181.0,62.0
83,0,70.0,59.0,30.0,626824.7,181.0,70.0
84,0,67.0,54.0,27.0,626809.7,181.0,67.0
85,0,66.0,57.0,32.0,626711.9,181.0,66.0
86,0,56.0,61.0,21.0,626698.3,181.0,56.0
87,0,56.0,69.0,12.0,626593.3,181.0,56.0
88,0,74.0,59.0,16.0,626587.0,181.0,74.0
89,0,55.0,62.0,26.0,626578.75,181.0,55.0
90,0,69.0,63.0,14.0,626547.6,181.0,69.0
91,0,57.0,69.0,15.0,626506.3,181.0,57.0
92,0,59.0,55.0,21.0,626479.94,181.0,59.0
93,0,73.0,70.0,23.0,626479.6,181.0,73.0
94,0,52.0,66.0,25.0,626468.6,181.0,52.0
95,0,65.0,66.0,11.0,626434.2,181.0,65.0
96,0,51.0,63.0,21.0,626424.25,181.0,51.0
97,0,65.0,75.0,23.0,626423.3,181.0,65.0
98,0,57.0,64.0,28.0,626399.94,181.0,57.0
99,0,63.0,59.0,30.0,626323.5,181.0,63.0
100,0,73.0,59.0,13.0,626219.75,181.0,73.0
101,0,65.0,62.0,15.0,626195.4,181.0,65.0
102,0,60.0,55.0,11.0,626169.25,181.0,60.0
103,0,53.0,56.0,16.0,626169.2,181.0,53.0
104,0,70.0,69.0,9.0,626164.2,181.0,70.0
105,0,58.0,69.0,21.0,626112.25,181.0,58.0
106,0,56.0,57.0,28.0,626041.3,181.0,56.0
107,0,58.0,64.0,15.0,626015.4,181.0,58.0
108,0,64.0,75.0,12.0,625958.4,181.0,64.0
109,0,55.0,52.0,26.0,625953.75,181.0,55.0
110,0,61.0,60.0,9.0,625941.9,181.0,61.0
111,0,72.0,54.0,24.0,625888.7,181.0,72.0
112,0,59.0,73.0,11.0,625882.75,181.0,59.0
113,0,60.0,56.0,7.0,625875.6,181.0,60.0
114,0,64.0,61.0,20.0,625820.75,181.0,64.0
115,0,69.0,75.0,15.0,625816.8,181.0,69.0
116,0,65.0,70.0,25.0,625795.75,181.0,65.0
117,0,62.0,77.0,15.0,625746.9,181.0,62.0
118,0,61.0,76.0,25.0,625744.25,181.0,61.0
119,0,53.0,61.0,12.0,625723.75,181.0,53.0
120,0,63.0,53.0,16.0,625721.06,181.0,63.0
121,0,66.0,66.0,8.0,625699.25,181.0,66.0
122,0,59.0,77.0,18.0,625689.56,181.0,59.0
123,0,60.0,66.0,7.0,625661.5,181.0,60.0
124,0,60.0,63.0,32.0,625655.0,181.0,60.0
125,0,57.0,59.0,11.0,625644.44,181.0,57.0
126,0,67.0,64.0,31.0,625609.7,181.0,67.0
127,0,76.0,69.0,21.0,625510.2,181.0,76.0
128,0,60.0,66.0,34.0,625409.06,181.0,60.0
129,0,62.0,68.0,9.0,625374.8,181.0,62.0
130,0,55.0,56.0,22.0,625355.25,181.0,55.0
131,0,70.0,54.0,30.0,625350.6,181.0,70.0
132,0,64.0,52.0,20.0,625349.94,181.0,64.0
133,0,70.0,58.0,33.0,625323.3,181.0,70.0
134,0,73.0,70.0,13.0,625314.4,181.0,73.0
135,0,75.0,62.0,29.0,625282.06,181.0,75.0
136,0,55.0,75.0,19.0,625197.2,181.0,55.0
137,0,72.0,55.0,14.0,625178.7,181.0,72.0
138,0,61.0,69.0,31.0,625143.56,181.0,61.0
139,0,62.0,56.0,18.0,625141.1,181.0,62.0
140,0,65.0,61.0,33.0,625123.1,181.0,65.0
141,0,58.0,76.0,13.0,625061.75,181.0,58.0
142,0,60.0,72.0,8.0,625060.5,181.0,60.0
143,0,68.0,67.0,13.0,625053.25,181.0,68.0
144,0,79.0,60.0,20.0,625038.44,181.0,79.0
145,0,78.0,63.0,26.0,625027.56,181.0,78.0
146,0,52.0,58.0,28.0,625015.25,181.0,52.0
147,0,65.0,51.0,13.0,624992.94,181.0,65.0
148,0,74.0,74.0,22.0,624948.5,181.0,74.0
149,0,71.0,72.0,18.0,624947.1,181.0,71.0
150,0,53.0,68.0,31.0,624917.94,181.0,53.0
151,0,66.0,56.0,10.0,624884.75,181.0,66.0
152,0,66.0,74.0,31.0,624858.9,181.0,66.0
153,0,64.0,78.0,18.0,624836.7,181.0,64.0
154,0,75.0,65.0,21.0,624829.0,181.0,75.0
155,0,72.0,59.0,23.0,624822.9,181.0,72.0
156,0,61.0,64.0,10.0,624797.7,181.0,61.0
157,0,66.0,81.0,12.0,624727.25,181.0,66.0
158,0,51.0,59.0,24.0,624663.06,181.0,51.0
159,0,64.0,47.0,22.0,624559.44,181.0,64.0
