traj #,traj frame,x,y,z,intensity,area,frame1
3863,0,75.0,17.0,8.0,564675.0,181.0,75.0
3864,0,18.0,48.0,25.0,564646.75,181.0,18.0
3865,0,46.0,110.0,22.0,564636.1,181.0,46.0
3866,0,67.0,112.0,30.0,564625.5,181.0,67.0
3867,0,86.0,20.0,23.0,564557.8,181.0,86.0
3868,0,81.0,19.0,11.0,564551.06,181.0,81.0
3869,0,95.0,24.0,24.0,564520.25,181.0,95.0
3870,0,109.0,80.0,10.0,564513.25,181.0,109.0
3871,0,33.0,98.0,5.0,564492.4,181.0,33.0
3872,0,53.0,111.0,17.0,564490.2,181.0,53.0
3873,0,62.0,15.0,28.0,564475.75,181.0,62.0
3874,0,103.0,96.0,17.0,564467.8,181.0,103.0
3875,0,14.0,66.0,14.0,564442.75,181.0,14.0
3876,0,83.0,19.0,33.0,564442.6,181.0,83.0
3877,0,39.0,107.0,25.0,564419.9,181.0,39.0
3878,0,55.0,15.0,21.0,564418.8,181.0,55.0
3879,0,111.0,51.0,19.0,564407.06,181.0,111.0
3880,0,16.0,75.0,12.0,564373.1,181.0,16.0
3881,0,97.0,26.0,11.0,564371.0,181.0,97.0
3882,0,99.0,30.0,29.0,564356.6,181.0,99.0
3883,0,30.0,31.0,4.0,564355.6,181.0,30.0
3884,0,54.0,109.0,37.0,564345.4,181.0,54.0
3885,0,22.0,87.0,10.0,564343.0,181.0,22.0
3886,0,55.0,111.0,32.0,564305.9,181.0,55.0
3887,0,111.0,70.0,6.0,564281.8,181.0,111.0
3888,0,83.0,107.0,8.0,564259.7,181.0,83.0
3889,0,82.0,109.0,24.0,564252.25,181.0,82.0
3890,0,87.0,22.0,4.0,564236.5,181.0,87.0
3891,0,31.0,97.0,8.0,564193.8,181.0,31.0
3892,0,100.0,33.0,34.0,564187.3,181.0,100.0
3893,0,27.0,93.0,9.0,564187.06,181.0,27.0
3894,0,105.0,43.0,34.0,564168.44,181.0,105.0
3895,0,84.0,108.0,31.0,564166.44,181.0,84.0
3896,0,36.0,104.0,29.0,564160.94,181.0,36.0
3897,0,110.0,77.0,29.0,564157.94,181.0,110.0
3898,0,114.0,57.0,23.0,564143.4,181.0,114.0
3899,0,26.0,94.0,12.0,564130.44,181.0,26.0
