traj #,traj frame,x,y,z,intensity,area,frame1
1,0,61.0,61.0,18.0,633128.1,181.0,61.0
2,0,59.0,59.0,26.0,632852.6,181.0,59.0
3,0,67.0,66.0,13.0,632341.3,181.0,67.0
4,0,60.0,61.0,22.0,631700.0,181.0,60.0
5,0,65.0,62.0,23.0,631196.5,181.0,65.0
6,0,63.0,66.0,23.0,631173.44,181.0,63.0
7,0,58.0,63.0,25.0,630935.25,181.0,58.0
8,0,77.0,64.0,24.0,630676.7,181.0,77.0
9,0,62.0,67.0,19.0,630646.56,181.0,62.0
10,0,69.0,59.0,24.0,630576.4,181.0,69.0
11,0,59.0,63.0,15.0,630559.44,181.0,59.0
12,0,59.0,64.0,20.0,630409.5,181.0,59.0
13,0,58.0,68.0,21.0,630331.1,181.0,58.0
14,0,68.0,58.0,20.0,630276.94,181.0,68.0
15,0,62.0,64.0,26.0,630143.06,181.0,62.0
16,0,64.0,61.0,14.0,629739.94,181.0,64.0
17,0,70.0,57.0,15.0,629735.25,181.0,70.0
18,0,67.0,67.0,29.0,629734.75,181.0,67.0
19,0,69.0,67.0,17.0,629631.4,181.0,69.0
20,0,66.0,70.0,18.0,629612.2,181.0,66.0
21,0,60.0,72.0,22.0,629542.75,181.0,60.0
22,0,65.0,64.0,20.0,629502.25,181.0,65.0
23,0,61.0,67.0,13.0,629463.06,181.0,61.0
24,0,59.0,70.0,16.0,629461.56,181.0,59.0
25,0,59.0,57.0,17.0,629452.75,181.0,59.0
26,0,63.0,67.0,10.0,629384.94,181.0,63.0
27,0,66.0,67.0,25.0,629328.25,181.0,66.0
28,0,71.0,70.0,20.0,629296.56,181.0,71.0
29,0,62.0,70.0,27.0,629273.0,181.0,62.0
30,0,72.0,68.0,23.0,629231.25,181.0,72.0
31,0,68.0,67.0,20.0,629206.5,181.0,68.0
32,0,66.0,64.0,27.0,629196.0,181.0,66.0
33,0,58.0,67.0,24.0,629134.56,181.0,58.0
34,0,66.0,63.0,17.0,629015.1,181.0,66.0
35,0,58.0,67.0,30.0,628967.75,181.0,58.0
36,0,65.0,60.0,11.0,628823.1,181.0,65.0
37,0,60.0,62.0,8.0,628719.6,181.0,60.0
38,0,64.0,73.0,21.0,628683.56,181.0,64.0
39,0,73.0,58.0,20.0,628678.5,181.0,73.0
40,0,70.0,62.0,15.0,628666.5,181.0,70.0
41,0,54.0,60.0,28.0,628592.0,181.0,54.0
42,0,71.0,61.0,26.0,628547.56,181.0,71.0
43,0,53.0,63.0,23.0,628492.2,181.0,53.0
44,0,63.0,53.0,20.0,628444.6,181.0,63.0
45,0,55.0,61.0,19.0,628412.8,181.0,55.0
46,0,55.0,69.0,17.0,628317.6,181.0,55.0
47,0,72.0,62.0,21.0,628299.9,181.0,72.0
48,0,52.0,57.0,24.0,628201.94,181.0,52.0
49,0,64.0,70.0,13.0,628161.2,181.0,64.0
50,0,76.0,61.0,19.0,628148.4,181.0,76.0
51,0,73.0,60.0,13.0,628096.5,181.0,73.0
52,0,64.0,60.0,28.0,628083.94,181.0,64.0
53,0,70.0,70.0,26.0,628050.5,181.0,70.0
54,0,55.0,70.0,23.0,628012.06,181.0,55.0
55,0,62.0,77.0,16.0,627980.1,181.0,62.0
56,0,63.0,65.0,7.0,627953.94,181.0,63.0
57,0,68.0,71.0,22.0,627816.4,181.0,68.0
58,0,64.0,68.0,16.0,627804.75,181.0,64.0
59,0,65.0,75.0,27.0,627734.75,181.0,65.0
60,0,56.0,61.0,13.0,627717.6,181.0,56.0
61,0,73.0,63.0,24.0,627706.6,181.0,73.0
62,0,62.0,54.0,16.0,627619.4,181.0,62.0
63,0,63.0,53.0,24.0,627593.6,181.0,63.0
64,0,66.0,56.0,23.0,627589.44,181.0,66.0
65,0,76.0,68.0,18.0,627562.6,181.0,76.0
66,0,66.0,70.0,9.0,627518.9,181.0,66.0
67,0,63.0,62.0,32.0,627351.44,181.0,63.0
68,0,69.0,70.0,14.0,627309.4,181.0,69.0
69,0,68.0,53.0,21.0,627257.94,181.0,68.0
70,0,61.0,57.0,20.0,627253.25,181.0,61.0
71,0,66.0,56.0,26.0,627250.8,181.0,66.0
72,0,69.0,65.0,32.0,627195.7,181.0,69.0
73,0,55.0,67.0,13.0,627168.3,181.0,55.0
74,0,49.0,63.0,22.0,627148.06,181.0,49.0
75,0,57.0,74.0,25.0,627057.4,181.0,57.0
76,0,67.0,55.0,12.0,626938.3,181.0,67.0
77,0,72.0,63.0,29.0,626903.75,181.0,72.0
78,0,67.0,75.0,23.0,626894.06,181.0,67.0
79,0,61.0,61.0,12.0,626887.25,181.0,61.0
80,0,70.0,59.0,31.0,626884.3,181.0,70.0
81,0,54.0,54.0,20.0,626883.06,181.0,54.0
82,0,54.0,71.0,20.0,626852.3,181.0,54.0
83,0,65.0,74.0,17.0,626821.5,181.0,65.0
84,0,65.0,58.0,17.0,626810.44,181.0,65.0
85,0,57.0,65.0,11.0,626807.3,181.0,57.0
86,0,62.0,67.0,31.0,626778.94,181.0,62.0
87,0,71.0,74.0,22.0,626774.2,181.0,71.0
88,0,60.0,72.0,19.0,626771.3,181.0,60.0
89,0,69.0,75.0,15.0,626727.56,181.0,69.0
90,0,63.0,78.0,20.0,626723.6,181.0,63.0
91,0,64.0,70.0,23.0,626566.8,181.0,64.0
92,0,61.0,57.0,14.0,626537.3,181.0,61.0
93,0,53.0,66.0,26.0,626434.7,181.0,53.0
94,0,52.0,59.0,11.0,626413.6,181.0,52.0
95,0,74.0,65.0,13.0,626413.1,181.0,74.0
96,0,55.0,73.0,16.0,626407.25,181.0,55.0
97,0,74.0,66.0,26.0,626378.56,181.0,74.0
98,0,56.0,63.0,30.0,626345.3,181.0,56.0
99,0,52.0,60.0,21.0,626314.44,181.0,52.0
100,0,54.0,66.0,19.0,626306.56,181.0,54.0
101,0,68.0,72.0,28.0,626289.6,181.0,68.0
102,0,61.0,73.0,25.0,626284.1,181.0,61.0
103,0,57.0,55.0,26.0,626277.9,181.0,57.0
104,0,51.0,64.0,16.0,626265.9,181.0,51.0
105,0,54.0,54.0,14.0,626192.7,181.0,54.0
106,0,67.0,53.0,18.0,626121.6,181.0,67.0
107,0,72.0,55.0,25.0,626064.7,181.0,72.0
108,0,69.0,75.0,19.0,626051.1,181.0,69.0
109,0,66.0,79.0,27.0,626030.4,181.0,66.0
110,0,78.0,69.0,13.0,625905.56,181.0,78.0
