traj #,traj frame,x,y,z,intensity,area,frame1
1,0,58.0,61.0,21.0,631528.8,181.0,58.0
2,0,67.0,67.0,15.0,631098.5,181.0,67.0
3,0,64.0,62.0,17.0,630792.0,181.0,64.0
4,0,66.0,60.0,23.0,630662.25,181.0,66.0
5,0,61.0,70.0,18.0,630476.0,181.0,61.0
6,0,59.0,60.0,16.0,630387.5,181.0,59.0
7,0,57.0,66.0,22.0,630366.1,181.0,57.0
8,0,67.0,73.0,17.0,630355.9,181.0,67.0
9,0,59.0,70.0,22.0,630327.44,181.0,59.0
10,0,65.0,68.0,21.0,630255.2,181.0,65.0
11,0,72.0,63.0,21.0,630180.06,181.0,72.0
12,0,64.0,74.0,20.0,630026.8,181.0,64.0
13,0,67.0,61.0,19.0,629932.44,181.0,67.0
14,0,67.0,56.0,24.0,629898.5,181.0,67.0
15,0,65.0,63.0,21.0,629826.56,181.0,65.0
16,0,66.0,63.0,14.0,629758.1,181.0,66.0
17,0,68.0,65.0,24.0,629691.5,181.0,68.0
18,0,63.0,66.0,18.0,629668.7,181.0,63.0
19,0,62.0,65.0,26.0,629655.1,181.0,62.0
20,0,71.0,68.0,26.0,629612.44,181.0,71.0
21,0,67.0,66.0,28.0,629583.5,181.0,67.0
22,0,70.0,71.0,15.0,629516.3,181.0,70.0
23,0,61.0,73.0,15.0,629350.25,181.0,61.0
24,0,63.0,59.0,19.0,629256.44,181.0,63.0
25,0,52.0,68.0,22.0,629148.0,181.0,52.0
26,0,60.0,56.0,18.0,629128.8,181.0,60.0
27,0,65.0,67.0,11.0,629040.1,181.0,65.0
28,0,69.0,68.0,19.0,628986.8,181.0,69.0
29,0,63.0,69.0,25.0,628862.6,181.0,63.0
30,0,61.0,62.0,10.0,628822.1,181.0,61.0
31,0,63.0,58.0,25.0,628410.3,181.0,63.0
32,0,66.0,61.0,29.0,628329.7,181.0,66.0
33,0,70.0,57.0,22.0,628288.8,181.0,70.0
34,0,62.0,59.0,22.0,628243.44,181.0,62.0
35,0,54.0,59.0,25.0,628196.94,181.0,54.0
36,0,70.0,63.0,27.0,628196.9,181.0,70.0
37,0,58.0,72.0,25.0,628187.94,181.0,58.0
38,0,74.0,54.0,16.0,628186.94,181.0,74.0
39,0,58.0,59.0,24.0,628155.4,181.0,58.0
40,0,72.0,65.0,15.0,628140.94,181.0,72.0
41,0,56.0,73.0,20.0,628127.4,181.0,56.0
42,0,58.0,66.0,13.0,628065.44,181.0,58.0
43,0,76.0,62.0,18.0,627946.6,181.0,76.0
44,0,70.0,59.0,17.0,627939.8,181.0,70.0
45,0,66.0,50.0,23.0,627930.25,181.0,66.0
46,0,70.0,53.0,25.0,627850.94,181.0,70.0
47,0,61.0,65.0,21.0,627724.9,181.0,61.0
48,0,68.0,59.0,14.0,627715.7,181.0,68.0
49,0,54.0,65.0,26.0,627703.2,181.0,54.0
50,0,61.0,61.0,30.0,627683.9,181.0,61.0
51,0,70.0,61.0,24.0,627655.75,181.0,70.0
52,0,63.0,57.0,33.0,627648.5,181.0,63.0
53,0,56.0,70.0,28.0,627639.3,181.0,56.0
54,0,57.0,57.0,20.0,627599.9,181.0,57.0
55,0,76.0,62.0,23.0,627596.06,181.0,76.0
56,0,63.0,52.0,17.0,627494.8,181.0,63.0
57,0,59.0,63.0,18.0,627490.9,181.0,59.0
58,0,71.0,69.0,22.0,627452.2,181.0,71.0
59,0,54.0,63.0,17.0,627415.75,181.0,54.0
60,0,69.0,72.0,26.0,627415.3,181.0,69.0
61,0,66.0,55.0,17.0,627356.75,181.0,66.0
62,0,76.0,66.0,21.0,627346.94,181.0,76.0
63,0,57.0,69.0,17.0,627327.7,181.0,57.0
64,0,74.0,69.0,19.0,627305.6,181.0,74.0
65,0,69.0,66.0,12.0,627302.3,181.0,69.0
66,0,61.0,62.0,24.0,627278.56,181.0,61.0
67,0,69.0,64.0,30.0,627261.0,181.0,69.0
68,0,68.0,57.0,19.0,627255.3,181.0,68.0
69,0,66.0,55.0,21.0,627252.5,181.0,66.0
70,0,62.0,64.0,13.0,627220.75,181.0,62.0
71,0,73.0,63.0,29.0,627104.44,181.0,73.0
72,0,54.0,62.0,22.0,627068.44,181.0,54.0
73,0,52.0,70.0,18.0,627032.25,181.0,52.0
74,0,59.0,64.0,28.0,627023.9,181.0,59.0
75,0,64.0,70.0,15.0,627014.1,181.0,64.0
76,0,63.0,73.0,23.0,626941.8,181.0,63.0
77,0,71.0,74.0,20.0,626927.25,181.0,71.0
78,0,67.0,63.0,5.0,626875.25,181.0,67.0
79,0,55.0,73.0,23.0,626862.3,181.0,55.0
80,0,74.0,66.0,24.0,626858.7,181.0,74.0
81,0,58.0,66.0,25.0,626777.9,181.0,58.0
82,0,73.0,54.0,22.0,626753.7,181.0,73.0
83,0,60.0,67.0,8.0,626707.9,181.0,60.0
84,0,66.0,67.0,32.0,626706.2,181.0,66.0
85,0,73.0,68.0,13.0,626680.56,181.0,73.0
86,0,56.0,62.0,14.0,626666.5,181.0,56.0
87,0,65.0,62.0,32.0,626645.06,181.0,65.0
88,0,59.0,55.0,23.0,626644.3,181.0,59.0
89,0,56.0,66.0,31.0,626643.7,181.0,56.0
90,0,50.0,65.0,14.0,626603.8,181.0,50.0
91,0,65.0,52.0,29.0,626559.4,181.0,65.0
92,0,57.0,60.0,27.0,626500.94,181.0,57.0
93,0,68.0,75.0,24.0,626494.94,181.0,68.0
94,0,66.0,64.0,8.0,626480.94,181.0,66.0
95,0,71.0,63.0,34.0,626475.5,181.0,71.0
96,0,55.0,56.0,16.0,626454.9,181.0,55.0
97,0,61.0,57.0,13.0,626400.7,181.0,61.0
98,0,60.0,68.0,15.0,626387.9,181.0,60.0
99,0,68.0,58.0,8.0,626385.94,181.0,68.0
100,0,66.0,55.0,14.0,626363.94,181.0,66.0
101,0,61.0,51.0,20.0,626360.3,181.0,61.0
102,0,66.0,70.0,30.0,626360.0,181.0,66.0
103,0,61.0,54.0,15.0,626321.9,181.0,61.0
104,0,61.0,57.0,29.0,626295.4,181.0,61.0
105,0,69.0,55.0,12.0,626278.1,181.0,69.0
106,0,67.0,55.0,27.0,626227.5,181.0,67.0
107,0,65.0,59.0,10.0,626222.44,181.0,65.0
108,0,55.0,72.0,14.0,626186.4,181.0,55.0
109,0,70.0,55.0,15.0,626170.3,181.0,70.0
110,0,67.0,70.0,13.0,626142.8,181.0,67.0
111,0,63.0,54.0,26.0,626130.94,181.0,63.0
112,0,63.0,59.0,15.0,626103.4,181.0,63.0
113,0,60.0,57.0,8.0,626041.7,181.0,60.0
114,0,71.0,60.0,31.0,625978.2,181.0,71.0
115,0,67.0,59.0,35.0,625934.4,181.0,67.0
116,0,75.0,62.0,26.0,625918.25,181.0,75.0
117,0,73.0,62.0,10.0,625863.8,181.0,73.0
118,0,66.0,50.0,19.0,625826.94,181.0,66.0
119,0,54.0,56.0,22.0,625793.2,181.0,54.0
120,0,57.0,55.0,29.0,625779.3,181.0,57.0
121,0,53.0,62.0,29.0,625732.75,181.0,53.0
122,0,74.0,70.0,16.0,625683.75,181.0,74.0
123,0,62.0,66.0,34.0,625676.3,181.0,62.0
124,0,63.0,65.0,29.0,625566.5,181.0,63.0
125,0,67.0,71.0,23.0,625535.94,181.0,67.0
126,0,50.0,59.0,22.0,625525.2,181.0,50.0
127,0,66.0,62.0,26.0,625507.0,181.0,66.0
128,0,76.0,71.0,21.0,625498.4,181.0,76.0
129,0,71.0,63.0,18.0,625460.2,181.0,71.0
130,0,73.0,63.0,7.0,625457.9,181.0,73.0
131,0,60.0,71.0,29.0,625452.2,181.0,60.0
132,0,55.0,67.0,15.0,625436.56,181.0,55.0
133,0,71.0,72.0,29.0,625349.1,181.0,71.0
134,0,74.0,74.0,18.0,625327.1,181.0,74.0
135,0,59.0,51.0,24.0,625295.9,181.0,59.0
136,0,70.0,58.0,28.0,625294.5,181.0,70.0
137,0,56.0,68.0,10.0,625284.94,181.0,56.0
138,0,62.0,61.0,27.0,625221.75,181.0,62.0
139,0,71.0,62.0,13.0,625200.9,181.0,71.0
140,0,57.0,60.0,30.0,625109.4,181.0,57.0
141,0,65.0,71.0,10.0,625061.94,181.0,65.0
142,0,50.0,64.0,22.0,625012.75,181.0,50.0
143,0,69.0,79.0,19.0,625002.8,181.0,69.0
144,0,53.0,57.0,19.0,624998.75,181.0,53.0
145,0,63.0,74.0,31.0,624956.9,181.0,63.0
146,0,60.0,68.0,11.0,624953.0,181.0,60.0
147,0,75.0,58.0,21.0,624947.1,181.0,75.0
148,0,70.0,49.0,18.0,624922.56,181.0,70.0
149,0,49.0,71.0,16.0,624899.56,181.0,49.0
150,0,75.0,70.0,24.0,624867.56,181.0,75.0
151,0,59.0,63.0,32.0,624797.1,181.0,59.0
152,0,64.0,76.0,26.0,624790.8,181.0,64.0
153,0,75.0,57.0,26.0,624785.25,181.0,75.0
154,0,71.0,57.0,33.0,624749.0,181.0,71.0
155,0,60.0,71.0,35.0,624737.7,181.0,60.0
156,0,61.0,54.0,11.0,624736.7,181.0,61.0
157,0,54.0,60.0,12.0,624727.06,181.0,54.0
158,0,76.0,56.0,29.0,624709.56,181.0,76.0
159,0,55.0,63.0,9.0,624683.94,181.0,55.0
160,0,56.0,52.0,18.0,624672.94,181.0,56.0
161,0,71.0,59.0,6.0,624599.1,181.0,71.0
162,0,61.0,61.0,7.0,624562.0,181.0,61.0
163,0,58.0,73.0,17.0,624522.5,181.0,58.0
164,0,70.0,52.0,28.0,624498.0,181.0,70.0
165,0,54.0,70.0,25.0,624483.5,181.0,54.0
166,0,63.0,54.0,5.0,624354.4,181.0,63.0
167,0,51.0,58.0,28.0,624314.9,181.0,51.0
168,0,75.0,62.0,15.0,624264.0,181.0,75.0
169,0,59.0,74.0,9.0,624245.1,181.0,59.0
170,0,63.0,73.0,12.0,624206.56,181.0,63.0
171,0,53.0,55.0,25.0,624197.9,181.0,53.0
172,0,77.0,59.0,10.0,624159.56,181.0,77.0
173,0,68.0,70.0,8.0,624118.1,181.0,68.0
174,0,69.0,77.0,27.0,624108.2,181.0,69.0
175,0,78.0,68.0,16.0,624083.6,181.0,78.0
176,0,66.0,57.0,31.0,624062.1,181.0,66.0
177,0,70.0,71.0,34.0,624061.4,181.0,70.0
178,0,67.0,75.0,31.0,624053.6,181.0,67.0
179,0,53.0,65.0,20.0,624046.4,181.0,53.0
180,0,72.0,67.0,30.0,624041.8,181.0,72.0
181,0,73.0,74.0,23.0,624038.0,181.0,73.0
182,0,49.0,62.0,27.0,624007.3,181.0,49.0
183,0,76.0,57.0,18.0,624005.3,181.0,76.0
184,0,70.0,49.0,24.0,623996.44,181.0,70.0
185,0,62.0,72.0,7.0,623976.1,181.0,62.0
186,0,51.0,59.0,16.0,623975.1,181.0,51.0
187,0,64.0,72.0,27.0,623954.0,181.0,64.0
188,0,56.0,55.0,13.0,623926.75,181.0,56.0
189,0,79.0,63.0,29.0,623921.5,181.0,79.0
190,0,62.0,54.0,31.0,623868.1,181.0,62.0
191,0,71.0,66.0,9.0,623850.7,181.0,71.0
192,0,68.0,77.0,16.0,623850.0,181.0,68.0
193,0,63.0,76.0,17.0,623828.7,181.0,63.0
194,0,68.0,63.0,36.0,623804.0,181.0,68.0
195,0,72.0,78.0,25.0,623799.5,181.0,72.0
196,0,77.0,67.0,31.0,623792.2,181.0,77.0
197,0,61.0,49.0,15.0,623767.8,181.0,61.0
